This behavior is known to be very effective for dealingwith well-known DDoS attacks.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(ADJP (RB )(JJ ))(PP (IN )(NP (RB )(JJ )(NNP )(NNS ))))))))(. )))
However, this mechanism is inef-ficient when a new type of attack is performed.; (TOP (S (ADVP (RB ))(, )(NP (DT )(NN ))(VP (VBZ )(ADJP (JJ ))(SBAR (WHADVP (WRB ))(S (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NN ))))(VP (VBZ )(VP (VBN ))))))(. )))
For this reason,we outline in this paper a new type of IDS able to detect differ-ent types of DDoS.; (TOP (S (PP (IN )(NP (DT )(NN )))(, )(NP (PRP ))(VP (VBP )(PP (IN )(NP (DT )(NN )))(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NNP )))(ADJP (JJ )(S (VP (TO )(VP (VB )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NNP ))))))))))))
Our proposed intrusion detection model is atwo-step mechanism which first characterize the traffic by using astatistical signature and then select a precise estimator model toreconstruct the attack traffic.; (TOP (S (NP (PRP$ )(VBN )(NN )(NN )(NN ))(VP (VBZ )(NP (NP (NN )(NN ))(SBAR (WHNP (WDT ))(S (ADVP (RB ))(VP (VBP )(NP (DT )(NN ))(PP (IN )(S (VP (VP (VBG )(NP (JJ )(NN )))(CC )(RB )(VP (VB )(S (NP (DT )(JJ )(NN )(NN ))(VP (VBD )(NP (DT )(NN )(NN )))))))))))))(. )))
All types of attack which do not fol-low the initial characteristics trigger an alarm and, consequently,the malicious traffic can be analyzed in depth.; (TOP (NP (NP (NP (DT )(NNS ))(PP (IN )(NP (NN ))))(SBAR (WHNP (WDT ))(S (VP (VP (VBP )(RB )(VP (VB )(NP (DT )(JJ )(NNS )(NN ))(NP (DT )(NN ))))(CC )(, )(VP (ADVP (RB ))(, )(S (NP (JJ )(NN ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (NN )))))))))))(. )))
This approach hasthe major advantage that it is not associated with a specific typeof attack.; (TOP (S (NP (DT )(NN ))(VP (VBD )(NP (JJ )(NN ))(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(RB )(VP (VBN )(PP (IN )(NP (DT )(JJ )(NN )(NN ))))))))(. )))
Any attacks which do not follow the initial model can bedetected, analyzed and managed.; (TOP (NP (NP (DT )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(RB )(VP (VB )(SBAR (S (NP (DT )(JJ )(NN ))(VP (MD )(VP (VBN )(, )(VBN )(CC )(VBN )))))))))(. )))
Consequently, the security andperformance of the entire network can be improved.; (TOP (S (ADVP (RB ))(, )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (DT )(JJ )(NN ))))(VP (MD )(VP (VB )(VP (VBN ))))(. )))
This trafficcharacterization is performed thanks to a statistical signature ofthe traffic exchanged in the network.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(NP (NP (NNS ))(PP (TO )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (NN ))(VP (VBN )(PP (IN )(NP (DT )(NN )))))))))))(. )))
Note that, statistical signa-tures, based on wavelet analysis, have been selected because theyoffer a wide spectral characterization of the entire traffic process.Each signature provides us an unique identification of the currenttraffic.; (TOP (S (S (VP (VB )(NP (DT ))))(, )(NP (NP (JJ )(NNS ))(, )(VP (VBN )(PP (IN )(NP (NN )(NN )))))(, )(VP (VBP )(VP (VBN )(VP (VBN )(PP (IN )(NP (NN )))(NP (NP (DT )(JJ )(JJ )(NN ))(PP (IN )(NP (NP (DT )(JJ )(NN )(NN ))(SBAR (S (NP (DT )(NN ))(VP (VBZ )(NP (PRP ))(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (DT )(NN )))))))))))))(. )))
By looking up this signature in a bank of signatures, it ispossible to characterize and make a model of the anomaly in theUAV network.; (TOP (S (PP (IN )(S (VP (VBG )(PP (IN )(NP (DT )(NN )))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS ))))))))(, )(NP (PRP ))(VP (VBZ )(S (VP (TO )(VP (VB )(CC )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )))))))))))(. )))
