Названия строк	Количество по полю Обобщенный	Среднее по полю ГлубинаН	Среднее по полю ГлубинаО
(TOP (. ))	5	2	1
(TOP (ADJP (JJ )(PP (TO )(NP (NP (NNP )(NN ))(PP (IN )(NP (NP (NN )(NNS )(, )(NNS ))(PP (IN )(NP (NP (DT )(NN ))(NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))))))))(. )))	1	12	1
(TOP (CD ))	1	2	2
(TOP (FRAG (ADVP (RB ))(. )))	1	4	2
(TOP (FRAG (ADVP (RB ))(PP (IN )(NP (NP (JJ )(JJ )(NNS ))(SBAR (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(PRT (RP ))(PP (TO )(NP (NP (CD )(JJ )(NNS )(CC )(CD )(NN )(NNS ))(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (JJ )(NN )))(PP (IN )(NP (DT )(JJ )(NN )))))))))))))))))(. )))	20	19	6,7
(TOP (FRAG (NP (CD ))(. )))	1	4	2
(TOP (FRAG (S (S (NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNP ))(VP (VBG )(NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NNS ))(PP (IN )(NP (JJ )(NN )))))))))(VP (VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNP )))))))))))(, )(CC )(ADVP (RB ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NNP )(CD ))))))))))(: )))	8	16	2,75
(TOP (INTJ (UH )(. )))	4	3	3
(TOP (NP (CD )(, )(CD )(. )))	1	3	1
(TOP (NP (CD )(. )))	6	3	1
(TOP (NP (CD )(NNP )))	17	3	3
(TOP (NP (CD )(VBG )))	24	3	3
(TOP (NP (NN )(CD )(. )))	1	3	3
(TOP (NP (NN )(NN )(NN )))	1	3	1
(TOP (NP (NNP )(CD )(: )))	2	3	3
(TOP (NP (NNP )(NNP )(. )))	2	3	1
(TOP (NP (NNP )(POS )))	5	3	3
(TOP (NP (NP (CD )(, )(NNP )(, )(NNP )(, )(NNP )(NNP )(NNP )(NNP ))(CC )(NP (PRP$ )(NNS ))(. )))	4	4	2,75
(TOP (NP (NP (CD )(. )(NNP )(NNP ))(, )(NP (NNP )(NNP )(NNP ))(. )))	1	4	1
(TOP (NP (NP (CD )(CD )(CD )(CD ))(SBAR (S (NP (PRP ))(VP (VBP )(PP (TO )(NP (NP (NN ))(PP (IN )(SBAR (WHADVP (WRB ))(S (NP (NP (NN ))(PP (IN )(NP (NNP ))))(VP (MD )(VP (VB )(NP (NP (JJ )(NN ))(, )(SBAR (WHADVP (WRB ))(S (NP (CD ))(VP (VBZ )(S (VP (TO )(VP (VB )(NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NP (NN ))(PP (IN )(NP (DT )(NN )(NN ))))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))))))))))))))))))))))))(. )))	6	28	2,833333333
(TOP (NP (NP (CD )(NNP )(NNP ))(, )(NP (NNP )(CC )(NNP )(NNP ))(. )))	4	4	2,75
(TOP (NP (NP (CD )(NNP )(NNP ))(, )(NP (NNP ))(, )(NP (NNP )(NNP )(NNP )(NNP )(NNP ))(, )(NP (NNP )(NNP ))(. )))	1	4	1
(TOP (NP (NP (CD )(NNP )(NNP ))(, )(NP (NNP ))(, )(NP (NNP )(NNP ))(, )(NP (NNP )(NNP ))(. )))	1	4	1
(TOP (NP (NP (CD )(NNP )(NNP ))(, )(NP (NNP ))(, )(NP (NNP )(NNP ))(, )(VP (VBG )(NP (NP (JJ )(NNS ))(PP (IN )(NP (JJ )(JJ )(NNS )))))(. )))	8	7	3,875
(TOP (NP (NP (CD )(NNP )(NNP ))(, )(NP (NP (NNP ))(, )(NP (NNP )(NNP )))(. )))	1	5	1
(TOP (NP (NP (CD )(NNP )(NNP ))(, )(NP (NP (NNP ))(, )(NP (NP (NNP )(NNP ))(PP (IN )(NP (NP (NNP )(NNP ))(CC )(NP (NNP )(NNP )(NNPS )(CC )(NNPS ))))))(. )))	3	8	2
(TOP (NP (NP (CD )(NNP )(NNP ))(PP (IN )(NP (NP (NN )(CC )(NNP )(NNS ))(, )(NP (NNP )(NNP ))(, )(NP (NNP ))(, )(NP (NNP )(CD )(, )(CD ))))(. )))	7	6	3,428571429
(TOP (NP (NP (CD )(NNS ))(PP (IN )(NP (NP (NN ))(VP (VBG )(PP (IN )(NP (NN )(NN ))))))(. )))	1	8	1
(TOP (NP (NP (CD ))(, )(NP (CD ))(. )))	1	4	1
(TOP (NP (NP (CD ))(, )(NP (NN ))(. )))	3	4	1
(TOP (NP (NP (CD ))(, )(NP (NNP ))(, )(NP (NNP ))(, )(NP (NP (NP (NNP )(NNP ))(PP (IN )(NP (NNP )(NNP )(NNP ))))(PP (IN )(NP (NP (NNP )(CC )(NNP ))(PP (IN )(NP (NNP ))))))(. )))	1	8	1
(TOP (NP (NP (CD ))(, )(NP (NP (NNP ))(, )(NP (NNP )))(. )))	1	5	1
(TOP (NP (NP (CD ))(, )(NP (NP (NP (NNP )(, )(NNP )(CC ))(NP (NNP )))(PP (IN )(NP (NP (NNP )(NNP ))(CC )(NP (NNP )(NNP )))))(. )))	1	7	1
(TOP (NP (NP (CD ))(: )(NP (CD ))(. )))	2	4	1
(TOP (NP (NP (CD ))(: )(NP (NP (JJ )(NN ))(PP (IN )(NP (NN ))))(. )))	1	6	1
(TOP (NP (NP (CD ))(: )(NP (NP (NN ))(PP (IN )(NP (NNP )(NNP )(NN )(NN ))))(. )))	2	6	1,5
(TOP (NP (NP (CD ))(: )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (DT )(NN ))))))(. )))	5	8	2,4
(TOP (NP (NP (CD ))(: )(NP (NP (NNP )(NN ))(PP (IN )(NP (NN )(NN ))))(. )))	1	6	1
(TOP (NP (NP (CD ))(: )(S (NP (DT )(NN )(NN ))(VP (VBZ )(VP (VBG )(NP (DT )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (PRP$ )(JJ )(NN ))))))))(. )))	5	10	2,4
(TOP (NP (NP (CD ))(: )(S (NP (NP (CD )(NNS ))(PP (IN )(NP (JJ )(NNS ))))(VP (VBP )(VP (VBN )(PP (IN )(NP (JJ )(NN ))))))(. )))	9	8	2,888888889
(TOP (NP (NP (CD ))(SBAR (WHADVP (WRB ))(S (NP (NN )(NN )(JJ )(NN )(NN ))(VP (VBP )(NP (NP (DT )(NN ))(SBAR (WHADVP (WRB ))(S (NP (NP (DT )(NN )(NN ))(PP (IN )(NP (NNS ))))(VP (VBZ )(ADJP (JJ )(S (VP (TO )(ADVP (RB ))(VP (VB )(NP (NP (JJ )(JJ )(NNS ))(PP (IN )(NP (NNS )))))))))))))))(. )))	4	17	2,5
(TOP (NP (NP (DT )(JJ )(NN )(NN ))(PP (IN )(NP (JJ )(NNS )))(. )))	5	5	3,2
(TOP (NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (JJ )(NN )(NN ))(PP (IN )(NP (JJ )(JJ )(NNS )))))(. )))	8	7	3,875
(TOP (NP (NP (DT )(JJ )(NN ))(PP (IN )(S (VP (VBG )(NP (NN )(NNS ))(PP (IN )(NP (NP (NNS )(NNS ))(PP (IN )(NP (JJ )(NN ))))))))(. )))	7	10	3,428571429
(TOP (NP (NP (DT )(NN )(NN ))(NP (NNP ))(. )))	1	4	1
(TOP (NP (NP (DT )(NN )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(SBAR (S (NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (DT )(VBN )(NN ))))))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(NN )))))))))))(. )))	13	13	3,461538462
(TOP (NP (NP (DT )(NN ))(PP (IN )(NP (NP (VBN )(NN )(NN )(NN ))(VP (VBN )(PP (IN )(NP (DT )(NN )(NN )(NN ))))))(. )))	9	8	4,333333333
(TOP (NP (NP (DT )(NN ))(SBAR (S (NP (DT )(NNS ))(VP (VBP )(VP (VP (VBN ))(CC )(VP (VBN )(NP (NNS ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NP (JJ )(NN ))(PP (IN )(NP (NNS ))))(PP (IN )(NP (NP (JJ )(NNS ))(: )(S (NP (NN )(NNS ))(VP (VBP )(VP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(CC )(NP (JJ )(NNS ))))))))))))))))))))(. )))	13	22	3,846153846
(TOP (NP (NP (DT )(NNP )(NNP ))(, )(NP (NP (NNP )(NNP ))(PP (IN )(NP (NNP )(CC )(NNP ))))(. )))	2	6	1,5
(TOP (NP (NP (DT )(NNP ))(SBAR (S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NNP )(NNP )(NNP ))))(, )(PP (IN )(NP (NP (NN )(NNP )(NNP ))(PP (IN )(NP (NP (JJ )(NNP )(NNP ))(PP (IN )(NP (NP (NNP )(NNP )(NNP )(CC )(NNP )(NNP ))(, )(NP (NNP ))))))))))))(. )))	9	14	4,333333333
(TOP (NP (NP (DT ))(, )(NP (CD ))(. )))	1	4	1
(TOP (NP (NP (FW ))(-LRB- )(, )(NP (NP (NN ))(-LRB- ))(. )))	1	5	1
(TOP (NP (NP (JJ )(JJ )(NNS ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN )(NNS )))(VP (VBG )(NP (NP (NNS ))(PP (IN )(NP (NP (NNP )(NNP ))(, )(NP (NNP )(CD ))(, )(NP (NNP )(CD ))(, )(NP (NNP )(CD ))(, )(NP (NNP )(CD ))))))))(. )))	8	10	3,875
(TOP (NP (NP (JJ )(NN )(CC )(NN )(NN ))(PP (IN )(NP (NP (NN )(NNS ))(PP (IN )(NP (NN )(NNS )))))(. )))	8	7	3,875
(TOP (NP (NP (JJ )(NN )(NN )(NNS )(NN )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(ADVP (RB ))(VP (VBN )(PP (IN )(S (VP (VBG )(NP (JJ )(NNS ))(PP (RB )(IN )(NP (NP (RB )(DT )(NN ))(PP (IN )(NP (NNS ))))))))))))(. )))	9	14	4,333333333
(TOP (NP (NP (JJ )(NN )(NN ))(: )(S (NP (PRP ))(VP (MD )(VP (VP (VB )(NP (JJ )(NN ))(PP (TO )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS ))))))(, )(CC )(VP (VB )(PRT (RP ))(NP (DT )(NN )(NNS ))))))(. )))	9	11	3,777777778
(TOP (NP (NP (JJ )(NN )(NN ))(VP (VBG )(NP (DT )(JJ )(NN )(NN )(NN )))(. )))	5	5	3,2
(TOP (NP (NP (JJ )(NN )(NNS ))(SBAR (S (NP (DT )(NNS ))(VP (TO )(VP (VB )(NP (NP (DT )(NN ))(VP (VBG )(PP (IN )(NP (DT )(NN )))))))))(. )))	8	11	3,75
(TOP (NP (NP (JJ )(NN ))(, )(NP (CD ))(. )))	1	4	1
(TOP (NP (NP (JJ )(NN ))(: )(NP (NP (NNP )(NNP ))(, )(NP (NNP )(CC )(NNP )))(. )('' )))	3	5	3
(TOP (NP (NP (JJ )(NN ))(SBAR (S (VP (TO )(VP (VB )(NP (NP (NN )(NNS ))(, )(CONJP (RB )(RB )(IN ))(NP (NP (NN )(NN )(NN ))(, )(VP (VBG )(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (NNS ))(PP (IN )(NP (NP (JJ )(NNS ))(, )(PP (ADVP (RB ))(IN )(PP (TO )(NP (DT )(JJ )(NN ))))))))))))))))))(. )))	13	20	3,615384615
(TOP (NP (NP (JJ )(NNP )(NNP )(CD ))(: )(NP (CD ))(. )))	1	4	1
(TOP (NP (NP (JJ )(NNP )(NNP )(NNP ))(, )(PP (IN )(NP (NNP )(NNP )(CD )))(. )))	5	5	3,2
(TOP (NP (NP (JJ )(NNP )(NNP ))(PP (IN )(NP (NP (NNP )(NNP ))(, )(NP (NNP )(CD ))))(. )))	1	6	1
(TOP (NP (NP (JJ )(NNS )(NNS ))(: )(NP (NP (DT )(NN ))(PP (TO )(NP (NN )(NN ))))(. )))	1	6	1
(TOP (NP (NP (JJ )(NNS ))(: )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))))(. )))	1	8	1
(TOP (NP (NP (NN )(CD ))(, )(NP (NN )(CD )(NN ))(. )))	4	4	2,75
(TOP (NP (NP (NN )(JJ )(VBG )(NN ))(, )(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (NP (NNS ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (PRP$ )(JJ )(NN )))))))))(. )))	2	11	1,5
(TOP (NP (NP (NN )(NN )(CC )(NNS )(NN ))(PP (IN )(NP (NN )(NN )))(. )))	1	5	1
(TOP (NP (NP (NN )(NNP )(NNP ))(PP (IN )(NP (NNP )(CC )(NNP )(NNP )(NNP )))(. )))	5	5	3,2
(TOP (NP (NP (NN ))(, )(NP (NNP )(NNP )(CD ))(. )))	1	4	1
(TOP (NP (NP (NN ))(, )(NP (NNP ))(, )(NP (NNP )(NNP ))(, )(NP (NNP )(NNP ))(, )(NP (NNP )(NNP ))(. )))	1	4	1
(TOP (NP (NP (NN ))(, )(NP (NP (NNP )(CC )(NNP )(NNP ))(, )(NP (NP (NNP ))(PP (IN )(NP (NP (NNP )(NNP )(NNP )(NNP ))(, )(NP (NNP )(NNP ))))))(. )))	1	8	1
(TOP (NP (NP (NN ))(: )(NP (NP (NP (NNS ))(PP (IN )(NP (DT )(NN ))))(CC )(NP (NP (PRP$ )(NN ))(PP (IN )(NP (NP (NP (DT )(NN )(NNP ))(PP (IN )(NP (DT )(NN )(NNP ))))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NP (NP (JJ )(NNS ))(PP (IN )(NP (DT )(NN )(NNP ))))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NN ))))))(: )(SBAR (IN )(S (NP (DT )(NN ))(VP (VBZ )(NP (DT )(NN )))))(: )(S (VP (VB )(NP (DT )(NNS )(CC )(NN )(NNS ))(PP (IN )(NP (NP (DT )(NNP ))(SBAR (WHNP (WDT ))(S (VP (VBP )(ADVP (RB ))(NP (NP (DT )(JJ )(NNS ))(: )(SBAR (IN )(S (NP (DT )(NN ))(VP (VBZ )(NP (DT )(NN )))))(: )(S (VP (VB )(NP (DT )(NNS )(CC )(NN )(NNS ))(PP (IN )(NP (NP (DT )(NNP ))(SBAR (WHNP (WDT ))(S (VP (VBP )(ADVP (RB ))(S (NP (DT )(JJ )(NNS ))(VP (VBD )(NP (NP (JJ )(JJ )(NNP )(NN )(NNP ))(CC )(NP (NP (JJ )(NNS ))(: )(SBAR (IN )(S (NP (DT )(NN ))(VP (VBZ )(NP (DT )(NN )(NN ))(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (PRP$ )(JJ )(NN ))(, )(PP (VBG )(NP (PRP$ )(NN )(NN ))))))))(S (VP (VB )(NP (NP (DT )(VBG )(JJ )(NN ))(. )(PP (IN )(NP (NP (NP (NNP ))(PP (IN )(NP (PRP$ )(JJ )(CC )(NN ))))(SBAR (S (NP (DT )(NN )(NN ))(ADVP (RB ))(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(NP (NP (NNP )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNS )))(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (NP (DT )(NNS ))(, )(PP (IN )(NP (DT )(NNP )(NN )))))))))))))))(, )(NP (NNP ))(VP (VBZ )(PP (TO )(NP (NP (NNP )(CD )(NNP ))(PP (IN )(NP (NP (NNP )(NNP )(. )(CD )(CC )(CD )(NN )(NNS ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (DT )(JJ )(NNS ))))))))))))))))))))))))))))))))))))))))))))))))))(. )))	84	57	4,666666667
(TOP (NP (NP (NN ))(: )(NP (NP (NP (NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))(: )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NP (NNS ))(PP (IN )(NP (JJ )(NNS ))))(PP (IN )(NP (DT )(NN )(NN ))))))(-RRB- ))(PP (IN )(NP (DT )(NN )(NN ))))(PP (IN )(NP (DT )(NN ))))(. )))	5	12	1,8
(TOP (NP (NP (NN ))(NP (NNP ))(. )))	1	4	1
(TOP (NP (NP (NNP )(CC )(NNP )(NNPS ))(, )(NP (CD ))(. )))	1	4	1
(TOP (NP (NP (NNP )(CC ))(NP (NNP )(NNP ))(. )))	1	4	1
(TOP (NP (NP (NNP )(CD ))(, )(NP (NNP ))(, )(NP (NNP ))(: )(NP (NNP )(, )(CD ))(. )))	1	4	1
(TOP (NP (NP (NNP )(CD ))(: )(NP (CD ))(. )))	1	4	1
(TOP (NP (NP (NNP )(JJ )(NN ))(PP (IN )(NP (NN )(NN )))(. )))	1	5	1
(TOP (NP (NP (NNP )(NN )(NN ))(VP (VBN )(PP (IN )(NP (JJ )(, )(JJ )(NNS ))))(. )))	6	6	3,666666667
(TOP (NP (NP (NNP )(NN )(NNS )(NN ))(PP (IN )(NP (PRP$ )(NN )))(. )))	5	5	3,2
(TOP (NP (NP (NNP )(NN ))(, )(SBAR (WHADVP (WRB ))(S (NP (DT )(NN ))(VP (VBZ )(NP (NP (NNS ))(PP (IN )(NP (NP (NN )(NNS ))(, )(NP (NP (NNS ))(SBAR (S (VP (TO )(VP (VB ))))))(CC )(NP (NNS ))))))))(. )))	3	14	2
(TOP (NP (NP (NNP )(NN ))(PP (IN )(NP (NN )(JJ )(NN )))(. )))	5	5	3,2
(TOP (NP (NP (NNP )(NNP )(CC )(NNP ))(, )(NP (NP (NN ))(NP (CD )))(, )(NP (NNP )(CD ))(, )(NP (NNP )(CD ))(, )(NP (NNP )(CD ))(. )))	4	5	2,75
(TOP (NP (NP (NNP )(NNP )(CD ))(, )(NP (CD ))(. )))	2	4	1
(TOP (NP (NP (NNP )(NNP )(CD ))(, )(NP (DT )(NN ))(. )))	4	4	2,75
(TOP (NP (NP (NNP )(NNP )(CD ))(: )(NP (NP (DT )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(NP (CD )(JJ )(NNS ))(PP (IN )(NP (NP (CD )(NNS ))(PP (IN )(NP (NP (DT )(NN ))(CC )(NP (NP (DT )(VBN )(NN ))(PP (IN )(NP (VBN )(NNS ))))))))))))(. )))	17	14	5,235294118
(TOP (NP (NP (NNP )(NNP )(NNP )(JJ )(NN ))(VP (VBN )(PP (IN )(NP (DT )(NN )(NN ))))(. )))	6	6	3,666666667
(TOP (NP (NP (NNP )(NNP )(NNP )(NN )(SYM )(NNP )(NN )(NN )(NN )(NN )(NN ))(, )(VP (ADVP (RB ))(-LRB- ))(. )))	1	5	1
(TOP (NP (NP (NNP )(NNP )(NNP )(NN ))(PP (IN )(NP (NP (NNP )(NNP ))(PP (IN )(NP (NP (NNP )(NNP )(NNP )(NNP ))(PP (IN )(NP (NP (NNP ))(CC )(NP (NP (PRP$ )(NNS ))(PP (IN )(NP (NNP )(NNP )(NNP ))))))))))))	1	12	1
(TOP (NP (NP (NNP )(NNP )(NNP )(NNP )(NN ))(SBAR (S (VP (TO )(VP (VB )(NP (JJ )(NN )(CC )(NN )(NNS ))(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))))))))))(. )))	6	15	3,666666667
(TOP (NP (NP (NNP )(NNP )(NNP )(NNP )(NNP )(NNP )(NNP )(NNP ))(CC )(NP (NNP )(NNP )(NNP ))(. )))	1	4	1
(TOP (NP (NP (NNP )(NNP )(NNP )(NNP )(NNP ))(, )(NP (NN ))(. )))	1	4	1
(TOP (NP (NP (NNP )(NNP )(NNP )(SYM ))(SBAR (WHADVP (WRB ))(S (NP (NNS ))(VP (VBP )(NP (NP (NN ))(-LRB- )(NP (-LRB- )(NP (NN )(CD )))(: )))))))	5	9	3
(TOP (NP (NP (NNP )(NNP )(NNP ))(, )(NP (NNP ))(, )(. )))	1	4	1
(TOP (NP (NP (NNP )(NNP )(NNP ))(, )(NP (NNP ))(. )))	1	4	1
(TOP (NP (NP (NNP )(NNP )(NNP ))(, )(NP (NP (CD ))(, )(NP (CD )))(. )))	1	5	1
(TOP (NP (NP (NNP )(NNP )(NNP ))(, )(NP (NP (CD ))(: )(NP (CD )(, )(CD )))(. )))	1	5	1
(TOP (NP (NP (NNP )(NNP )(NNP ))(: )(S (NP (NP (NNP )(NNP )(NNP ))(, )(NP (CD ))(, )(NP (NN )))(VP (VBD )(NP (CD ))(, )(ADVP (RP ))))(. )('' )(. )))	1	6	1
(TOP (NP (NP (NNP )(NNP )(NNP ))(CC )(NP (NNP )(NNP ))(. )))	1	4	1
(TOP (NP (NP (NNP )(NNP )(NNP ))(CD )(NN )(. )))	1	4	3
